Which workshop did you attend?,What is your current position?,Other,Version control,Automated testing,Travis CI,Code coverage analysis,Jupyter Notebooks,CMake,Integrated development environments,Code review,Read the Docs or GitHub/GitLab/BitBucket Pages,Reusable,Reproducible,Modular,Documented,Has it become easier for you to collaborate on software development with your colleagues and collaborators?,Have you introduced one or more of your colleagues to new tools or practices as a result of the workshop?
"Aarhus, Denmark, October 2017",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,1,1,1,1,0,0
"Linköping, Sweden, November 2017",Graduate student,,I’m using this tool in the same way as before,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I’m using this tool in the same way as before,I don’t use this tool,I don’t use this tool,I started using this tool,0,0,0,1,1,0
"Espoo, Finland, December 2017",Graduate student,,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I’m using this tool better than before,I started using this tool,I’m using this tool better than before,1,1,1,1,1,1
"Aarhus, Denmark, October 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,0,0,0,0,1,1
"Linköping, Sweden, November 2017",Assistant/Associate/Full Professor,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I started using this tool,0,0,0,1,,1
"Espoo, Finland, December 2017",Postdoc,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,0,0,0,0,,1
"Aarhus, Denmark, October 2017",Researcher,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I started using this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool better than before,1,1,1,1,1,1
"Espoo, Finland, December 2017",Postdoc,,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,I started using this tool,1,1,1,0,,1
"Linköping, Sweden, November 2017",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I started using this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool better than before,1,1,1,1,1,1
"Linköping, Sweden, November 2017",Graduate student,,I’m using this tool in the same way as before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I don’t use this tool,I don’t use this tool,0,1,1,0,,0
"Espoo, Finland, December 2017",Postdoc,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I’m using this tool in the same way as before,I don’t use this tool,I’m using this tool in the same way as before,1,1,1,0,1,1
"Espoo, Finland, December 2017",Postdoc,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I started using this tool,1,1,1,1,,1
"Aarhus, Denmark, October 2017",Graduate student,,I’m using this tool better than before,I started using this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,,0,1,1,,1
"Aarhus, Denmark, October 2017",Graduate student,,I’m using this tool better than before,I’m using this tool in the same way as before,I’m using this tool better than before,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,1,1,1,1,1,0
"Espoo, Finland, December 2017",Undergraduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,I started using this tool,1,1,0,1,1,0
"Linköping, Sweden, November 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,I started using this tool,1,1,1,1,1,0
"Aarhus, Denmark, October 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I’m using this tool better than before,I’m using this tool better than before,1,1,1,0,1,0
"Espoo, Finland, December 2017",Researcher,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I’m using this tool in the same way as before,I’m using this tool better than before,I started using this tool,1,1,0,1,1,1
"Aarhus, Denmark, October 2017",Postdoc,,I started using this tool,I started using this tool,I started using this tool,I don’t use this tool,I started using this tool,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I started using this tool,1,1,1,1,1,1
"Linköping, Sweden, November 2017",Assistant/Associate/Full Professor,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,1,1,1,1,1,1
"Espoo, Finland, December 2017",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,1,1,1,1,,1
"Aarhus, Denmark, October 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,1,0,1,1,1,0
"Espoo, Finland, December 2017",Postdoc,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I started using this tool,I’m using this tool in the same way as before,I don’t use this tool,I don’t use this tool,1,1,0,0,,1
"Linköping, Sweden, November 2017",,System Developer,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool better than before,1,1,1,1,,1
"Espoo, Finland, December 2017",Graduate student,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I started using this tool,I don’t use this tool,I started using this tool,1,1,1,1,1,1
"Aarhus, Denmark, October 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I started using this tool,1,1,1,0,,1
"Linköping, Sweden, November 2017",Researcher,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,1,1,1,0,1,0
"Aarhus, Denmark, October 2017",,,I’m using this tool better than before,I’m using this tool in the same way as before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,0,0,0,1,0,1
"Espoo, Finland, December 2017",Graduate student,,I started using this tool,I don’t use this tool,I started using this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,I started using this tool,1,1,0,1,1,0
"Linköping, Sweden, November 2017",Graduate student,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,1,1,1,0,1,1
"Tromsø, Norway, June 2017",Graduate student,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I started using this tool,I’m using this tool better than before,I don’t use this tool,I started using this tool,1,1,0,1,1,1
"Tromsø, Norway, June 2017",,Head Engineer,I’m using this tool in the same way as before,I’m using this tool better than before,I’m using this tool better than before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,1,1,1,1,,1
"Tromsø, Norway, June 2017",Researcher,,I’m using this tool better than before,I started using this tool,I started using this tool,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool better than before,I’m using this tool in the same way as before,1,1,1,1,1,1
"Tromsø, Norway, June 2017",Researcher,,I’m using this tool better than before,I started using this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I don’t use this tool,I started using this tool,I started using this tool,1,1,0,1,1,1
"Tromsø, Norway, June 2017",Postdoc,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I’m using this tool in the same way as before,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,0,0,0,1,,1
"Tromsø, Norway, June 2017",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I started using this tool,I don’t use this tool,I’m using this tool better than before,I’m using this tool better than before,I started using this tool,1,1,1,1,1,1
"Tromsø, Norway, June 2017",Graduate student,,I’m using this tool better than before,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I’m using this tool better than before,I don’t use this tool,I’m using this tool better than before,I’m using this tool better than before,1,1,1,1,1,1
"Tromsø, Norway, June 2017",Graduate student,,I’m using this tool better than before,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool better than before,I started using this tool,1,1,1,1,1,1
"Tromsø, Norway, June 2017",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I started using this tool,I started using this tool,I started using this tool,1,1,1,0,,1
"Tromsø, Norway, June 2017",Researcher,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I’m using this tool in the same way as before,I started using this tool,I started using this tool,0,1,0,1,0,1
